"name","date","policy_id","claim","adress","latitude","longitude","distance_to_coast"
"14.10.02 - AEROPUERTO - 01572114.PDF","14th september 2014","gs1000510300","not yet formally quantified",": km . 13 , la paz , baja","24.0754403","-110.3644457",1.44774757577933
"14.11.20 - API BAJA CALIFORNIA - 01723114 -PRELIMINARY [ENG] (1).pdf",NA,"tsa370050200","not yet formally quantified",": pichilingue , in the state of baja california","24.0728338","-110.2964992",4.01805133463284
"15.01.12 - (01) BANCO INVEX SA FIDEICOMIS NO 192 FINAL - 01563814 (ENG) .pdf","14th september 2014","2014","usd 7,260,850.00","puerto los cabos marina , paseo de los pescadores","23.0619055","-109.6761674",0.203339930220824
"14.12.03 - THE BANK OF NEW YORK MELLO - 1571614 First Interim Report (ENG) .pdf","september 15 , 2014","gsa085930200",NA,"with a maximum of us $ 10,000,000","41.8786309","-87.6387652",91.6176192120947
"15.05.08 - CABO REAL - 01567014  IXE BANCO - INFORME FINAL SECRETS [ENG] .PDF","september 14th , 2014","gsa100870001","$ 169,272,745.00","av. paseo de los pescadores s/n entre calle","23.0669505","-109.6594548",0.118755826421611
"15.06.03 - CABO REAL (DREAMS & CASA DEL MAR & GANZO IR6 [ENG] .pdf",NA,"gsa085570200","mxn 576,544,761.31","various in the towns of san josã © del","various","various",NA
"16.07.11 - FINAL REPORT - CLUB 96 - 01582314.pdf","14 september 2014","gsa093930100","usd 3,009,800.82","of loss pamilla , san jose del cabo ,","23.0071006","-109.7147767",0.0640884258493641
"15.05.14 - COSTCO - 01562914 - FINAL [ENG] .pdf","september 14 , 2014","gja020960300","mx$ 134,745,169","costco los cabos ( carretera san josã © del","23.0942018","-109.7168192",2.35771479946494
"15.02.09 - FEMSA COMERCO - 01623214 - ENG.pdf","september 14th 2014","gsa099120000",NA,"name : 155 locations in","35.2087795","-111.5767736",152.012739758456
"14.10.24 - FONDO NACIONAL - IP 01671914 - 4353-IR01.pdf","14th september 2014","tj2000220200","not yet formally quantified","airport â€ “ san josã © del cabo","23.1455358","-109.7182665",4.27982424423975
"15.01.16 - GRUPO COSTAMEX - 01562514 - INTERIM [ENG] .pdf","14th september 2014","gj1003140200","not yet formally quantified",". 4 â€ “ hotel park royal los cabos","23.0461999","-109.70354",0.268630677936762
"14.12.19 - FIESTA AMERIC VAC CLUB-GRUPO POSADAS- 01594914 - INTERIM 2[ENG] .pdf","14th september 2014","gsa098420000","usd 2,460,000","hotel fiesta americana grand los cabos , carretera transpeninsular","22.9210696","-109.8277001",0.09555632649988
"15.04.07 GRUPO POSADAS-AXA 01565414 - INTERIM 3 [ENG] .pdf","14th september 2014","gsa098420000",NA,"hotel fiesta americana grand los cabos , carretera transpeninsular","22.9210696","-109.8277001",0.09555632649988
"15.04.20 GRUPO POSADAS-AXA - 01594914 - INTERIM 3 [ENG] .pdf","14th september 2014","gsa098420000",NA,"hotel fiesta americana grand los cabos , carretera transpeninsular","22.9210696","-109.8277001",0.09555632649988
"15.06.19 - GRUPO POSADAS - 01565414- 4IR -(ENG.).pdf","14 september 2014","gsa098420000","usd 10,676,222.27","hotel fiesta americana grand los cabos , carretera transpeninsular","22.9210696","-109.8277001",0.09555632649988
"15.06.19 - GRUPO POSADAS - 01594914-3IR- (ENG).pdf","14 september 2014","gsa098420000","usd 9,372,930.42","hotel fiesta americana grand los cabos , carretera transpeninsular","22.9210696","-109.8277001",0.09555632649988
"14.10.27 - BANCO NACIONAL DE MEXICO SA FIDEICOMISO EL MEDANO - 01566814.pdf","14th september 2014","2014",NA,"me cabo hotel â€ “ el medano beach w/n","22.888935","-109.903928",0.0532322941747049
"15.05.04 - HOTEL ME CABO - INTERIM #4 - 01566814 - ENG.PDF","2014","2014","mxn 146,402,565.10","hotel me cabo - playa el medano s/n el","22.888935","-109.903928",0.0532322941747049
"15.09.22 - ME CABO - FINAL - 01566814 - ENG.pdf","2014","2014","mxn 146,402,565.10","hotel me cabo - playa el medano s/n el","22.888935","-109.903928",0.0532322941747049
"15.02.24 - Plaza San Lucas - FINAL - 01563614 (ENG).pdf","14th september 2014","2014","mxn 41,648.678.26","carretera federal transpeninsular , san jose del cabo-csl ,","23.0636579","-109.7024677",0.859795945944404
"14.09.26 - GRUPO PUEBLO BONITO - IP 01564314 - 4291- IA.PDF","14th september 2014","gj1002601100","not yet formally quantified","of incident : several locations , cabo san lucas","various","various",NA
"14.12.19 - PUEBLO BONITO - IP 01564314 - UPDATE .pdf","14th september 2014","gj1002601100","not yet formally quantified","of incident : several locations , cabo san lucas","various","various",NA
"15.07.09 - PUEBLO BONITO - IR 04 - 01564314 .pdf","14th september 2014","gj1002601100",NA,"of incident : several locations at cabo san lucas","various","various",NA
"16.06.14 - PUEBLO BONITO - 01564314 - UPDATE REPORT.pdf","14th september 2014","gj1002601100","$ 121,520,297","ï‚ · outdoor property :","48.2732416","-116.5480953",771.328301204767
"14.12.17 - SHERATON - FINAL Eng - 01562314.pdf","14th september 2014","gja021930100","usd 26,137,746.09","corredor turã­stico km 10 lote d , cabo del","22.914778","-109.83674",0.104848538473535
"14.11.03 - INFORME DE ACTUALIZACION VILLAS SOLARIS 01567514 (2) - INGLES.PDF","november 3 , 2014","4","page 1","blvd . san jose loreto col . campo de","23.047722","-109.693059",0.0722585869363579
"15.03.23 - VILLA SOLARIS - FINAL REPORT - 01567514 (ENG).PDF",NA,"gsa065510502",NA,"10 campo de golf , zona hotelera b ,","21.131502","-86.760803",0.0383735251159658
"14.10.08 - VISTA SERENA - IP 01573514 - PRELIM CRAWFORD [ENG] .pdf","14 september 2014",NA,"usd 5â€™000,000","of loss carretera transpeninsular km . 12.5 , cabo","22.9283078","-109.8193166",0.134507454322223
"15.07.16 - VISTA SERENA - Update Report - 01573514.pdf",NA,"tja069830000",NA,"transpeninsular km 12.5 s/n col . cabo san lucas","22.90298","-109.8938909",0.280742963389429
"15.01.16 - AMX Cabo Holdings (TERSORO) - 01574714  INTERIM [ENG]  .pdf","14th september 2014",NA,"not yet formally quantified","hotel wyndham cabo san lucas , boulevard marina s/n","22.8810523","-109.9115668",0.278897901492756
